# angle I
1.226267284651528833e+01 0.000000000000000000e+00
1.262280932778145370e+01 0.000000000000000000e+00
1.297953919419553870e+01 0.000000000000000000e+00
1.335482213221673931e+01 0.000000000000000000e+00
1.372408791116629168e+01 0.000000000000000000e+00
1.409901987699426762e+01 0.000000000000000000e+00
1.446083602812778324e+01 0.000000000000000000e+00
1.481730709028705206e+01 0.000000000000000000e+00
1.517173449838404942e+01 0.000000000000000000e+00
1.551811551146366774e+01 0.000000000000000000e+00
1.589641250683601470e+01 0.000000000000000000e+00
1.627339110809699463e+01 0.000000000000000000e+00
1.662011968575146881e+01 0.000000000000000000e+00
1.697835480865197155e+01 0.000000000000000000e+00
1.734199584128202787e+01 0.000000000000000000e+00
1.770553895594225224e+01 0.000000000000000000e+00
1.807130326400313081e+01 0.000000000000000000e+00
1.843465442894936857e+01 0.000000000000000000e+00
1.878096222119318170e+01 0.000000000000000000e+00
1.913659987323090306e+01 0.000000000000000000e+00
1.950514123753502460e+01 0.000000000000000000e+00
1.986330730459379268e+01 0.000000000000000000e+00
2.022073492801051842e+01 0.000000000000000000e+00
2.058710680632741230e+01 0.000000000000000000e+00
2.094314887247101353e+01 0.000000000000000000e+00
2.130438054981574680e+01 0.000000000000000000e+00
2.167905111950058483e+01 0.000000000000000000e+00
2.204560599318464398e+01 0.000000000000000000e+00
2.239682653882750429e+01 0.000000000000000000e+00
2.275363822822428617e+01 0.000000000000000000e+00
2.312793991557033380e+01 0.000000000000000000e+00
2.349935112218316746e+01 0.000000000000000000e+00
2.385416066626844156e+01 0.000000000000000000e+00
2.420834365316106940e+01 0.000000000000000000e+00
2.455857028755591998e+01 0.000000000000000000e+00
2.493091152744412042e+01 0.000000000000000000e+00
2.527483223733344175e+01 0.000000000000000000e+00
2.563425652252228559e+01 0.000000000000000000e+00
2.601672385617668581e+01 0.000000000000000000e+00
2.640577305237117756e+01 0.000000000000000000e+00
2.671930330674172893e+01 0.000000000000000000e+00
2.707089648078908084e+01 0.000000000000000000e+00
2.745202761316002693e+01 0.000000000000000000e+00
2.782921475418621426e+01 0.000000000000000000e+00
2.818807885309087169e+01 0.000000000000000000e+00
2.854806482795782330e+01 0.000000000000000000e+00
2.889549902919376478e+01 0.000000000000000000e+00
2.924727850905018656e+01 0.000000000000000000e+00
2.961173747369430131e+01 0.000000000000000000e+00
2.997762869486751214e+01 0.000000000000000000e+00
3.034381575091571293e+01 0.000000000000000000e+00
3.069637995846956002e+01 0.000000000000000000e+00
3.104821642274215066e+01 0.000000000000000000e+00
3.141729887792190112e+01 0.000000000000000000e+00
3.177492433466741772e+01 0.000000000000000000e+00
3.214626355577831163e+01 0.000000000000000000e+00
3.251675605723034579e+01 0.000000000000000000e+00
3.287487621126714288e+01 0.000000000000000000e+00
3.322782418636403889e+01 0.000000000000000000e+00
3.358790561082158632e+01 0.000000000000000000e+00
3.397104670879200228e+01 0.000000000000000000e+00
3.430972963393656272e+01 0.000000000000000000e+00
3.467331300415371231e+01 0.000000000000000000e+00
3.504488555086337698e+01 0.000000000000000000e+00
3.541363622899447705e+01 0.000000000000000000e+00
3.577692547683867730e+01 0.000000000000000000e+00
3.613001053112260763e+01 0.000000000000000000e+00
3.648202563062135084e+01 0.000000000000000000e+00
3.682962937910751577e+01 0.000000000000000000e+00
3.718790880640079166e+01 0.000000000000000000e+00
3.755793617592696165e+01 0.000000000000000000e+00
3.793580923229645663e+01 0.000000000000000000e+00
3.829782656806155927e+01 0.000000000000000000e+00
3.865315950278650803e+01 0.000000000000000000e+00
3.901830970180436253e+01 0.000000000000000000e+00
3.937154677477515463e+01 0.000000000000000000e+00
3.973451736319234584e+01 0.000000000000000000e+00
4.009041448886217296e+01 0.000000000000000000e+00
4.045700437370926039e+01 0.000000000000000000e+00
4.081547633796911612e+01 0.000000000000000000e+00
4.116711665622139549e+01 0.000000000000000000e+00
4.153243602663183509e+01 0.000000000000000000e+00
4.190135268967101467e+01 0.000000000000000000e+00
4.225694403171050340e+01 0.000000000000000000e+00
4.263072221917273197e+01 0.000000000000000000e+00
4.298236812304300258e+01 0.000000000000000000e+00
4.335397244744854106e+01 0.000000000000000000e+00
4.370938581296284298e+01 0.000000000000000000e+00
4.408141282004845607e+01 0.000000000000000000e+00
4.442311195098108811e+01 0.000000000000000000e+00
4.474736345545046134e+01 0.000000000000000000e+00
4.513181037106932081e+01 0.000000000000000000e+00
4.550518791356464732e+01 0.000000000000000000e+00
4.587859612931388398e+01 0.000000000000000000e+00
4.626298575904075960e+01 0.000000000000000000e+00
4.659827357861271935e+01 0.000000000000000000e+00
4.695833007920350610e+01 0.000000000000000000e+00
4.732706300537589073e+01 0.000000000000000000e+00
4.768729047865042503e+01 0.000000000000000000e+00
4.804603123853006252e+01 0.000000000000000000e+00
4.839911688274412427e+01 0.000000000000000000e+00
4.876043263521199123e+01 0.000000000000000000e+00
4.912600027158417504e+01 0.000000000000000000e+00
4.948820129318639260e+01 0.000000000000000000e+00
4.985200348507563461e+01 0.000000000000000000e+00
5.021186646673336895e+01 0.000000000000000000e+00
5.056009585579234056e+01 0.000000000000000000e+00
5.092929928871412670e+01 0.000000000000000000e+00
5.129035769465544803e+01 0.000000000000000000e+00
5.164685043638609585e+01 0.000000000000000000e+00
5.201769573310133410e+01 0.000000000000000000e+00
5.238760095852538257e+01 0.000000000000000000e+00
5.273628981835555862e+01 0.000000000000000000e+00
5.309476049356305793e+01 0.000000000000000000e+00
5.345016124763998988e+01 0.000000000000000000e+00
5.381627393954912719e+01 0.000000000000000000e+00
5.418861012304124358e+01 0.000000000000000000e+00
5.455507675480509988e+01 0.000000000000000000e+00
5.490978944155331476e+01 0.000000000000000000e+00
5.527062247726589561e+01 0.000000000000000000e+00
5.563114682740363293e+01 0.000000000000000000e+00
5.601023261561899602e+01 0.000000000000000000e+00
5.636736094360470872e+01 0.000000000000000000e+00
5.670276624052125669e+01 0.000000000000000000e+00
5.708342660208528230e+01 0.000000000000000000e+00
5.743755150235368490e+01 0.000000000000000000e+00
5.781125925987439729e+01 0.000000000000000000e+00
5.818065824853643875e+01 0.000000000000000000e+00
5.852827955308822538e+01 0.000000000000000000e+00
5.888312669818119360e+01 0.000000000000000000e+00
5.924840814141190748e+01 0.000000000000000000e+00
5.961154974951115548e+01 0.000000000000000000e+00
5.996845703544695283e+01 0.000000000000000000e+00
6.032107613684184599e+01 0.000000000000000000e+00
6.067635033341284867e+01 0.000000000000000000e+00
6.103835741567128537e+01 0.000000000000000000e+00
6.140561065545576724e+01 0.000000000000000000e+00
6.177042045335986842e+01 0.000000000000000000e+00
6.213399215608534831e+01 0.000000000000000000e+00
6.248259002593690781e+01 0.000000000000000000e+00
6.284760485184366985e+01 0.000000000000000000e+00
6.324143716501277623e+01 0.000000000000000000e+00
6.359422694762883310e+01 0.000000000000000000e+00
6.391455316895247307e+01 0.000000000000000000e+00
6.427479584875267449e+01 0.000000000000000000e+00
6.466508569255833550e+01 0.000000000000000000e+00
6.502666580012007103e+01 0.000000000000000000e+00
6.539446369731982145e+01 0.000000000000000000e+00
6.574820320749168445e+01 0.000000000000000000e+00
6.610068040043485382e+01 0.000000000000000000e+00
6.645692095565500779e+01 0.000000000000000000e+00
6.681800687385491244e+01 0.000000000000000000e+00
6.719035107877287771e+01 0.000000000000000000e+00
6.755840506439764681e+01 0.000000000000000000e+00
6.790011856147869196e+01 0.000000000000000000e+00
6.826495417233978458e+01 0.000000000000000000e+00
6.864122356074808806e+01 0.000000000000000000e+00
6.899120487936832546e+01 0.000000000000000000e+00
6.934515837690105400e+01 0.000000000000000000e+00
6.970219057915214478e+01 0.000000000000000000e+00
7.006043201921525565e+01 0.000000000000000000e+00
7.042671108571890670e+01 0.000000000000000000e+00
7.078710034359642123e+01 0.000000000000000000e+00
7.115811437123892347e+01 0.000000000000000000e+00
7.153958093271063490e+01 0.000000000000000000e+00
7.190442186609608655e+01 0.000000000000000000e+00
7.224263994054126670e+01 0.000000000000000000e+00
7.260219134987632117e+01 0.000000000000000000e+00
7.297609154208090843e+01 0.000000000000000000e+00
7.332683994636451530e+01 0.000000000000000000e+00
7.367044320861349149e+01 0.000000000000000000e+00
7.404725045633394132e+01 0.000000000000000000e+00
7.441295239220515612e+01 0.000000000000000000e+00
7.476343416238385942e+01 0.000000000000000000e+00
7.513029354853142650e+01 0.000000000000000000e+00
7.551519662243860864e+01 0.000000000000000000e+00
7.587747040259006326e+01 0.000000000000000000e+00
7.622370848935524634e+01 0.000000000000000000e+00
7.658149045660854881e+01 0.000000000000000000e+00
7.695187606182420836e+01 0.000000000000000000e+00
7.730262882985928741e+01 0.000000000000000000e+00
7.767087407088446582e+01 0.000000000000000000e+00
7.804258364307008833e+01 0.000000000000000000e+00
7.840203383197295750e+01 0.000000000000000000e+00
7.876824823481187821e+01 0.000000000000000000e+00
7.911783678159913791e+01 0.000000000000000000e+00
7.947884115428381335e+01 0.000000000000000000e+00
7.982941921865229062e+01 0.000000000000000000e+00
8.016986655134641637e+01 0.000000000000000000e+00
8.052259744243993111e+01 0.000000000000000000e+00
8.090008256545793586e+01 0.000000000000000000e+00
8.126221084920342719e+01 0.000000000000000000e+00
8.162685701871724575e+01 0.000000000000000000e+00
8.200083637261658964e+01 0.000000000000000000e+00
8.236607722354534644e+01 0.000000000000000000e+00
8.273099511512749871e+01 0.000000000000000000e+00
8.309724864130512856e+01 0.000000000000000000e+00
8.345987425604631937e+01 0.000000000000000000e+00
8.382511681739602238e+01 0.000000000000000000e+00
8.418906478693283191e+01 0.000000000000000000e+00
8.455583955869450108e+01 0.000000000000000000e+00
8.491951971574090408e+01 0.000000000000000000e+00
8.527853749732436484e+01 0.000000000000000000e+00
8.562162058484382499e+01 0.000000000000000000e+00
8.597809203121383348e+01 0.000000000000000000e+00
8.633487585451712221e+01 0.000000000000000000e+00
8.669194469307866768e+01 0.000000000000000000e+00
8.704136346034113103e+01 0.000000000000000000e+00
8.738782040139935248e+01 0.000000000000000000e+00
8.773094542231270054e+01 0.000000000000000000e+00
8.806515251314741022e+01 0.000000000000000000e+00
8.840279388044622522e+01 0.000000000000000000e+00
8.875361409099390642e+01 0.000000000000000000e+00
8.910965539559541071e+01 0.000000000000000000e+00
8.946576564888061966e+01 0.000000000000000000e+00
8.982191728423745758e+01 0.000000000000000000e+00
9.017808271576254242e+01 0.000000000000000000e+00
9.055281017641182473e+01 0.000000000000000000e+00
9.094370714968017921e+01 0.000000000000000000e+00
9.133846013757234061e+01 0.000000000000000000e+00
9.172253577705761529e+01 0.000000000000000000e+00
9.209749924035037338e+01 0.000000000000000000e+00
9.246359859170013351e+01 0.000000000000000000e+00
9.273589281410198737e+01 0.000000000000000000e+00
